Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,distribution losses ,Europe,1.971,1.791,1.808,2.146,2.102,2.24,2.095,2.196,2.233,2.345,2.468,2.526,2.234,2.436,1.692,2.342,3.199,2.144,2.293,1.97,2.104,2.375,2.091,2.049,1.81,1.527,1.568,1.947,2.175,2.365,2.624001,2.201001,2.149999,1.913998,1.973999,1.765406,1.87268,1.658616,2.088775,1.606065,1.061193,1.076
Djibouti,distribution losses ,Africa,0.0077,0.00805,0.00861,0.00973,0.00959,0.01078,0.0112,0.01127,0.01148,0.01155,0.01176,0.01183,0.01183,0.01197,0.01197,0.01211,0.01218,0.01232,0.01232,0.01232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.12,0.12,0.12
Dominica,distribution losses ,Central & South America,0.00077,0.00084,0.00077,0.00126,0.00168,0.00168,0.00182,0.00189,0.00196,0.00203,0.00203,0.0021,0.0021,0.0021,0.00231,0.00308,0.00294,0.0035,0.00434,0.00497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006121,0.0081,0.0081,0.0081
Dominican Republic,distribution losses ,Central & South America,0.697,0.686,0.93,1.139,0.954,1.093,1.128,1.441,1.023,0.907,0.907,0.977,1.546,1.483,1.572,1.554,1.529,2.036,2.095,2.103,1.456,1.477,1.58,1.604,1.354,1.537,1.682,1.761,1.828,1.809,1.946,2.012,2.158,2.241,2.181,2.297,2.412,2.472863,2.549017,2.499127,2.156981,2.156981
Ecuador,distribution losses ,Central & South America,0.499,0.535,0.744,0.779,0.895,0.954,1.128,1.081,1.233,1.314,1.431,1.644,1.597,1.74,1.981,2.104,2.176,2.537,2.515,2.434,2.561,2.718,3.342,3.655,4.248,3.397,3.518,3.573,3.618,3.343,3.29,3.349,3.312,3.06,3.165,3.344,3.499,3.516,3.783,4.278,4.417,4.64210475
Egypt,distribution losses ,Africa,2.395,2.749,1.715,2.353,4.025,6.971,3.597,5.59,5.666,5.634,4.207,4.425,4.713,5.017,4.891,5.54,4.04,3.779,4.358,4.905,10.75,10.905,11.281,10.76,12.315,12.604,12.563,13.119,13.034,13.34,14.918,13.328,18.305,24.224,20.724,29.409,38.825,34.012319,34.502421,34.038662,33.1165,33.1165
El Salvador,distribution losses ,Central & South America,0.204,0.192,0.215,0.214,0.22,0.243,0.253,0.284,0.329,0.32,0.363,0.321,0.349,0.459,0.502,0.43,0.462,0.48,0.506,0.5,0.452,0.519,0.549,0.585,0.727,0.535,0.69,0.456,0.715,0.711,0.769,0.728,0.61,0.455,0.654,0.656,0.82,0.812889,0.8275,0.7825,0.793889,0.792462793
Equatorial Guinea,distribution losses ,Africa,0.00119,0.00105,0.00098,0.00084,0.00105,0.00119,0.00112,0.00119,0.00119,0.00119,0.00119,0.00119,0.00126,0.00126,0.00126,0.00133,0.00133,0.0014,0.00147,0.00147,0.005,0.009,0.009,0.01,0.012,0.029,0.038,0.046,0.056,0.064,0.071,0.078,0.073,0.084,0.124,0.146,0.158,0.150626,0.138036,0.149492,0.140835,0.148180357
Eritrea,distribution losses ,Africa,,,,,,,,,,,,,,,0.02,0.024,0.024,0.029,0.032,0.038,0.038,0.039,0.043,0.044,0.048,0.046,0.037,0.043,0.045,0.035,0.039,0.043,0.037,0.026,0.027,0.03,0.035,0.042301,0.044611,0.046054,0.047589,0.047983383
Estonia,distribution losses ,Europe,,,,,,,,,,,,,1.029,1.47,1.592,1.835,1.793,1.51,1.568,1.47,1.241,1.364,1.26,1.192,1.112,1.103,1.077,1.354,1.13,0.886,1.047,0.949001,0.879002,0.902999,0.842,0.697001,0.722999,0.779,0.7439999,0.5555151,0.5295132,0.44
